gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,avg_score
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,72,72,74,72.66666666666667
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,69,90,88,82.33333333333333
FEMALE,GROUP B,MASTER'S DEGREE,STANDARD,NONE,90,95,93,92.66666666666667
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,47,57,44,49.333333333333336
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,76,78,75,76.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,71,83,78,77.33333333333333
FEMALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,88,95,92,91.66666666666667
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,40,43,39,40.666666666666664
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,64,64,67,65.0
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,38,60,50,49.333333333333336
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,54,52,54.666666666666664
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,40,52,43,45.0
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,65,81,73,73.0
MALE,GROUP A,SOME COLLEGE,STANDARD,COMPLETED,78,72,70,73.33333333333333
FEMALE,GROUP A,MASTER'S DEGREE,STANDARD,NONE,50,53,58,53.666666666666664
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,75,78,74.0
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,88,89,86,87.66666666666667
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,18,32,28,26.0
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,46,42,46,44.666666666666664
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,54,58,61,57.666666666666664
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,66,69,63,66.0
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,65,75,70,70.0
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,44,54,53,50.333333333333336
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,73,73,71.66666666666667
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,71,80,75.0
MALE,GROUP A,MASTER'S DEGREE,FREE/REDUCED,NONE,73,74,72,73.0
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,69,54,55,59.333333333333336
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,67,69,75,70.33333333333333
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,70,70,65,68.33333333333333
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,62,70,75,69.0
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,69,74,74,72.33333333333333
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,63,65,61,63.0
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,56,72,65,64.33333333333333
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,40,42,38,40.0
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,97,87,82,88.66666666666667
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,81,79,80.33333333333333
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,74,81,83,79.33333333333333
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,50,64,59,57.666666666666664
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,75,90,88,84.33333333333333
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,57,56,57,56.666666666666664
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,55,61,54,56.666666666666664
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,73,68,66.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,53,58,65,58.666666666666664
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,59,65,66,63.333333333333336
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,50,56,54,53.333333333333336
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,65,54,57,58.666666666666664
FEMALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,55,65,62,60.666666666666664
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,66,71,76,71.0
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,57,74,76,69.0
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,82,84,82,82.66666666666667
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,53,55,48,52.0
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,77,69,68,71.33333333333333
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,53,44,42,46.333333333333336
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,88,78,75,80.33333333333333
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,71,84,87,80.66666666666667
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,33,41,43,39.0
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,82,85,86,84.33333333333333
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,52,55,49,52.0
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,58,59,58,58.333333333333336
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,0,17,10,9.0
MALE,GROUP E,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,79,74,72,75.0
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,39,39,34,37.333333333333336
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,62,61,55,59.333333333333336
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,69,80,71,73.33333333333333
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,59,58,59,58.666666666666664
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,67,64,61,64.0
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,45,37,37,39.666666666666664
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,60,72,74,68.66666666666667
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,61,58,56,58.333333333333336
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,39,64,57,53.333333333333336
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,58,63,73,64.66666666666667
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,63,55,63,60.333333333333336
FEMALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,41,51,48,46.666666666666664
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,61,57,56,58.0
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,49,49,41,46.333333333333336
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,44,41,38,41.0
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,30,26,22,26.0
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,COMPLETED,80,78,81,79.66666666666667
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,61,74,72,69.0
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,62,68,68,66.0
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,47,49,50,48.666666666666664
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,49,45,45,46.333333333333336
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,COMPLETED,50,47,54,50.333333333333336
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,72,64,63,66.33333333333333
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,42,39,34,38.333333333333336
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,73,80,82,78.33333333333333
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,76,83,88,82.33333333333333
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,71,71,74,72.0
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,58,70,67,65.0
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,73,86,82,80.33333333333333
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,65,72,74,70.33333333333333
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,27,34,36,32.333333333333336
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,79,71,73.66666666666667
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,43,45,50,46.0
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,79,86,92,85.66666666666667
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,78,81,82,80.33333333333333
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,65,66,62,64.33333333333333
FEMALE,GROUP E,SOME COLLEGE,STANDARD,COMPLETED,63,72,70,68.33333333333333
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,58,67,62,62.333333333333336
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,65,67,62,64.66666666666667
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,79,67,67,71.0
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,68,74,74,72.0
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,85,91,89,88.33333333333333
MALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,60,44,47,50.333333333333336
MALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,98,86,90,91.33333333333333
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,58,67,72,65.66666666666667
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,87,100,100,95.66666666666667
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,66,63,64,64.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,52,76,70,66.0
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,70,64,72,68.66666666666667
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,77,89,98,88.0
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,62,55,49,55.333333333333336
MALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,NONE,54,53,47,51.333333333333336
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,51,58,54,54.333333333333336
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,COMPLETED,99,100,100,99.66666666666667
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,84,77,74,78.33333333333333
FEMALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,75,85,82,80.66666666666667
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,78,82,79,79.66666666666667
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,51,63,61,58.333333333333336
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,55,69,65,63.0
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,79,92,89,86.66666666666667
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,91,89,92,90.66666666666667
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,88,93,93,91.33333333333333
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,63,57,56,58.666666666666664
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,83,80,73,78.66666666666667
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,87,95,86,89.33333333333333
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,72,68,67,69.0
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,65,77,74,72.0
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,82,82,74,79.33333333333333
FEMALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,51,49,51,50.333333333333336
MALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,89,84,82,85.0
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,53,37,40,43.333333333333336
MALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,87,74,70,77.0
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,75,81,84,80.0
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,79,75,76.0
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,58,55,48,53.666666666666664
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,51,54,41,48.666666666666664
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,70,55,56,60.333333333333336
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,59,66,67,64.0
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,71,61,69,67.0
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,76,72,71,73.0
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,59,62,64,61.666666666666664
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,42,55,54,50.333333333333336
MALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,57,43,47,49.0
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,88,73,78,79.66666666666667
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,22,39,33,31.333333333333332
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,88,84,75,82.33333333333333
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,73,68,66,69.0
FEMALE,GROUP D,BACHELOR'S DEGREE,STANDARD,COMPLETED,68,75,81,74.66666666666667
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,100,100,93,97.66666666666667
MALE,GROUP A,SOME HIGH SCHOOL,STANDARD,COMPLETED,62,67,69,66.0
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,NONE,77,67,68,70.66666666666667
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,59,70,66,65.0
MALE,GROUP D,BACHELOR'S DEGREE,STANDARD,NONE,54,49,47,50.0
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,62,67,61,63.333333333333336
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,70,89,88,82.33333333333333
FEMALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,COMPLETED,66,74,78,72.66666666666667
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,60,60,60,60.0
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,61,86,87,78.0
MALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,66,62,64,64.0
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,82,78,74,78.0
FEMALE,GROUP E,SOME COLLEGE,FREE/REDUCED,COMPLETED,75,88,85,82.66666666666667
MALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,NONE,49,53,52,51.333333333333336
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,52,53,49,51.333333333333336
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,81,92,91,88.0
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,96,100,100,98.66666666666667
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,53,51,51,51.666666666666664
FEMALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,58,76,78,70.66666666666667
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,COMPLETED,68,83,78,76.33333333333333
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,COMPLETED,67,75,70,70.66666666666667
MALE,GROUP A,HIGH SCHOOL,STANDARD,COMPLETED,72,73,74,73.0
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,94,88,78,86.66666666666667
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,79,86,81,82.0
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,63,67,70,66.66666666666667
FEMALE,GROUP C,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,43,51,54,49.333333333333336
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,81,91,87,86.33333333333333
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,COMPLETED,46,54,58,52.666666666666664
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,71,77,77,75.0
FEMALE,GROUP B,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,52,70,62,61.333333333333336
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,97,100,100,99.0
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,62,68,75,68.33333333333333
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,46,64,66,58.666666666666664
FEMALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,50,50,47,49.0
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,65,69,70,68.0
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,45,52,49,48.666666666666664
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,65,67,65,65.66666666666667
MALE,GROUP E,HIGH SCHOOL,STANDARD,NONE,80,76,65,73.66666666666667
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,62,66,68,65.33333333333333
MALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,48,52,45,48.333333333333336
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,77,88,87,84.0
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,66,65,69,66.66666666666667
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,76,83,79,79.33333333333333
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,62,64,66,64.0
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,77,62,62,67.0
FEMALE,GROUP C,MASTER'S DEGREE,STANDARD,COMPLETED,69,84,85,79.33333333333333
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,61,55,52,56.0
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,59,69,65,64.33333333333333
MALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,NONE,55,56,51,54.0
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,45,53,55,51.0
FEMALE,GROUP B,BACHELOR'S DEGREE,FREE/REDUCED,NONE,78,79,76,77.66666666666667
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,67,84,86,79.0
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,65,81,77,74.33333333333333
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,69,77,69,71.66666666666667
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,57,69,68,64.66666666666667
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,59,41,42,47.333333333333336
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,74,71,78,74.33333333333333
MALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,82,62,62,68.66666666666667
MALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,81,80,76,79.0
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,74,81,76,77.0
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,58,61,66,61.666666666666664
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,80,79,79,79.33333333333333
MALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,35,28,27,30.0
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,42,62,60,54.666666666666664
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,60,51,56,55.666666666666664
MALE,GROUP E,HIGH SCHOOL,STANDARD,COMPLETED,87,91,81,86.33333333333333
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,84,83,75,80.66666666666667
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,83,86,88,85.66666666666667
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,34,42,39,38.333333333333336
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,66,77,70,71.0
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,61,56,56,57.666666666666664
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,COMPLETED,56,68,74,66.0
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,87,85,73,81.66666666666667
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,55,65,62,60.666666666666664
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,86,80,75,80.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,52,66,73,63.666666666666664
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,45,56,54,51.666666666666664
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,72,72,71,71.66666666666667
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,57,50,54,53.666666666666664
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,68,72,64,68.0
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,88,95,94,92.33333333333333
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,76,64,66,68.66666666666667
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,46,43,42,43.666666666666664
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,67,86,83,78.66666666666667
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,92,87,78,85.66666666666667
MALE,GROUP C,BACHELOR'S DEGREE,STANDARD,COMPLETED,83,82,84,83.0
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,80,75,77,77.33333333333333
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,63,66,67,65.33333333333333
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,64,60,74,66.0
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,54,52,51,52.333333333333336
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,84,80,80,81.33333333333333
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,73,68,66,69.0
FEMALE,GROUP E,BACHELOR'S DEGREE,STANDARD,NONE,80,83,83,82.0
FEMALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,56,52,55,54.333333333333336
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,59,51,43,51.0
MALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,75,74,69,72.66666666666667
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,85,76,71,77.33333333333333
